property_id,title,price,price_per_sqft,bhk_count,super_area,floor,bathroom_count,property_type,latitude,longitude,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,transaction_Resale,furnishing_status_Semi,furnishing_status_Unfurnished,locality_frequency,locality_Amrita Nagar,locality_Ardendale,locality_Attibele,locality_BEML Layout 3rd Stage,locality_BSF Campus,locality_Balagere,locality_Bengaluru,locality_Budigere Cross,locality_Carmelaram,locality_D Nagaraj Layout,locality_Dasanayakanahalli,locality_Devanahalli,locality_Devin Paradise Enclave,locality_Eastwood Township,locality_Electronic City Phase I,locality_Fathima Layout,locality_Govindaraja Nagar Ward,locality_Gundappa Reddy Layout,locality_Gunjur Village,locality_HBR Layout 2nd Block,locality_Halasuru,locality_Infosys Head Quater,locality_Ittamadu,locality_JP Nagar 6th Phase,locality_Jawahar Nagar,locality_Kadubeesanahalli,locality_Kaikondrahalli,locality_Kalena Agrahara,locality_Kanakapura,locality_Kaveri Nagar,locality_Kodigehalli,locality_Koralur,locality_Koramangala 3 Block,locality_Manyata Residency,locality_Maruthi Layout,locality_Narayanapura,locality_Other,locality_Palm Meadows,locality_Parangi Palaya,locality_Patel Layout,locality_Phase III,locality_Pragathi Nagar,locality_Prakash Nagar,locality_Prakruthi Nagar,locality_Royal Enclave,locality_Saint Thomas Town,locality_Shivananada Layout,locality_Veer Sandra,locality_Vinayaka Nagar,locality_Yeshwanthpur Industrial Area
2606,5 BHK  House for Sale in Vidyaranyapura Bangalore,17300000.0,5406.0,5.0,3000.0,1.0,6.0,house,13.020404815673828,77.60847473144531,-0.21322113948679344,-0.214438654351267,1.015215233822327,0.4383,1.0,0.0,1.0,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2607,4 BHK  House for Sale in RR Nagar Bangalore,18500000.0,7708.0,4.0,2300.0,1.0,3.0,house,12.971440315246582,77.52047729492188,-0.21503312536452607,-0.20429600205660284,-0.9431603914442016,0.6195,1.0,0.0,0.0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2608,4 BHK Villa for Sale in Sarjapura Bangalore,25000000.0,9709.0,4.0,2158.0,1.0,3.0,villa,12.912349700927734,77.68099975585938,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,1.0,0.0,1.0,174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2609,4 BHK Villa for Sale in Sarjapur Road Bangalore,14000000.0,6601.0,4.0,2121.0,1.0,4.0,villa,12.859667,77.765623,-0.1932597515837277,-0.19343809906143344,1.015215233822327,0.4353,1.0,0.0,0.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2610,4 BHK  House for Sale in Gubbalala Main Road Bangalore,15000000.0,7500.0,4.0,1800.0,0.0,4.0,house,12.963382720947266,77.54850769042969,-0.21873587911467543,-0.20745502598383417,-0.9415091472407727,0.6199,1.0,1.0,0.0,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2611,"4 BHK Flat  for Sale in RT Nagar, Bangalore",12000000.0,5333.0,4.0,1900.0,3.0,4.0,apartment,13.0265621756529,77.6006696583636,-0.21441271715638935,-0.2153923219519406,1.015215233822327,0.4385,1.0,1.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2612,5 BHK Villa for Sale in Bommasandra Bangalore,17000000.0,5667.0,5.0,2500.0,1.0,4.0,villa,12.7926641,77.680775,-0.1946187409920272,-0.18607697726873398,-0.933252926223629,0.6158,1.0,0.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2613,4 BHK Villa for Sale in Sarjapur Road Bangalore,59000000.0,16103.0,4.0,3664.0,1.0,6.0,villa,12.8538161600821,77.7827017777506,-0.1921961946554933,-0.19236522301067563,1.015215233822327,0.4351,1.0,1.0,0.0,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2614,"4 BHK Villa for Sale in Vs Reddy Colony, Kadugodi Bangalore",20000000.0,8114.0,4.0,1515.0,1.0,4.0,villa,12.970500946044922,77.74873352050781,-0.20059632483867784,-0.20850803395957795,-1.0614995593565972,0.6276,1.0,1.0,0.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2615,4 BHK  House for Sale in Kanakapura Road Bangalore,15500000.0,5536.0,4.0,2500.0,4.0,5.0,house,12.804632186889648,77.6045913696289,-0.18808968318258834,-0.17353028789737174,1.015215233822327,0.4338,1.0,0.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2616,"4 BHK Flat  for Sale in Koramangala, Bangalore",47500000.0,18130.0,4.0,1900.0,1.0,3.0,apartment,12.928728,77.626569,-0.2119901708198555,-0.20360061943111166,-1.0224201132087827,0.6254,1.0,0.0,0.0,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2617,"4 BHK Flat  for Sale in Whitefield, Bangalore",38000000.0,16770.0,4.0,2000.0,27.0,4.0,apartment,13.024418757051512,77.7619875371977,-0.1962436196323853,-0.21464726913891435,-0.9756348607783006,0.6207,1.0,0.0,0.0,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2618,4 BHK Villa for Sale in Harohalli Road Bangalore,40000000.0,16000.0,4.0,2300.0,1.0,4.0,villa,12.86499397,77.72633442,-0.1960466646456752,-0.19312020986120892,1.015215233822327,0.4356,1.0,0.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2619,5 BHK Villa for Sale in Mahadevapura Bangalore,50000000.0,13158.0,5.0,1650.0,1.0,5.0,villa,12.99130726,77.68758598,-0.2070466006534327,-0.20511059313217822,-1.1088352265215553,0.6316,1.0,0.0,0.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2620,4 BHK Villa for Sale in Bagalur Sarjapur Road Bangalore,21600000.0,8500.0,4.0,2461.0,1.0,4.0,villa,12.855794906616213,77.80403137207031,-0.1905319250177932,-0.1906863706719898,1.015215233822327,0.4349,1.0,0.0,1.0,345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
