property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
3017,3 BHK Apartment for Sale in Devanahalli Bangalore,16299999.999999998,10863.0,3.0,1509.0,1.0,New Property,Unfurnished,3.0,apartment,13.24032816,77.71506051,Devanahalli,37.03,13.88,40.0,0.424
3018,3 BHK Apartment for Sale in Yelahanka Bangalore,24100000.0,14494.0,3.0,1667.0,1.0,New Property,Semi,2.0,apartment,13.094892093768584,77.59735486472457,Nehru Nagar,15.4,19.96,40.0,0.4339
3019,3 BHK Apartment for Sale in Sarjapura Bangalore,10500000.0,7192.0,3.0,1460.0,1.0,New Property,Furnished,2.0,apartment,12.835015042801714,77.78238598801194,Billapura,41.57,55.63,40.0,0.4129
3020,3 BHK Apartment for Sale in Sarjapur Road Bangalore,16900000.0,10530.0,3.0,1605.0,1.0,New Property,Unfurnished,2.0,house,12.88109827,77.71349549,Kodathi,23.84,59.17,40.0,0.4194
3021,3 BHK Apartment for Sale in Sarjapur Road Bangalore,20800000.0,12500.0,3.0,1668.0,1.0,New Property,Unfurnished,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3022,3 BHK Apartment for Sale in Maruthi Nagar Yelahanka Bangalore,31800000.0,14871.0,3.0,1501.0,5.0,New Property,Unfurnished,3.0,apartment,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3023,3 BHK Apartment for Sale in Whitefield Bangalore,36000000.0,16253.0,3.0,2100.0,0.0,Resale,Semi,4.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3024,3 BHK Apartment for Sale in Whitefield Bangalore,21100000.0,12000.0,3.0,1094.0,5.0,New Property,Unfurnished,3.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3025,3 BHK Apartment for Sale in Kogilu Bangalore,17200000.0,10088.0,3.0,1388.0,10.0,New Property,Unfurnished,3.0,apartment,13.10628307,77.60948316,Maruthi Nagar,16.97,20.32,40.0,0.4316
3026,3 BHK Apartment for Sale in Whitefield Bangalore,52000000.0,18888.0,3.0,1927.0,7.0,Resale,Unfurnished,3.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3027,3 BHK Apartment for Sale in Bannerughatta Bangalore,26000000.0,13333.0,3.0,1950.0,3.0,New Property,Unfurnished,3.0,apartment,12.87052719,77.59332459,Kalena Agrahara,14.98,46.86,6.75,0.0808
3028,3 BHK Apartment for Sale in Hoskote Bangalore,12100000.0,8800.0,3.0,1384.0,8.0,New Property,Unfurnished,3.0,apartment,13.0689366,77.7968211,Kaveri Nagar,30.37,41.36,40.0,0.4175
3029,"3 BHK Apartment for Sale in Richmond Town, Richmond Town Bangalore",50000000.0,19920.0,3.0,2210.0,3.0,Resale,Unfurnished,3.0,apartment,12.962554,77.604187,Richmond Town,5.3,37.59,4.72,0.1386
3030,3 BHK Apartment for Sale in Sarjapura Bangalore,14600000.0,11500.0,3.0,1278.0,3.0,New Property,Furnished,2.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3031,3 BHK Apartment for Sale in Sarjapura Bangalore,22599999.999999996,12210.0,3.0,1480.0,2.0,Resale,Unfurnished,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3032,3 BHK Apartment for Sale in Hennur Main Road Bangalore,21500000.0,13190.0,3.0,1222.0,11.0,Resale,Semi,3.0,apartment,13.0231661,77.6309661,HBR Layout 2nd Block,10.43,33.32,40.0,0.4408
